1,Ngành Kế Toán, buôn bán - kinh doanh
2,Ngành kiểm toán, buôn bán - kinh doanh
3,Ngành Thương mại Điện Tử, buôn bán - kinh doanh
4,Ngành Tài Chính – Ngân hàng, buôn bán - kinh doanh
5,Quản Trị Kinh Doanh., buôn bán - kinh doanh
6,Kinh tế - Tài chính, buôn bán - kinh doanh
7,Ngành marketing, buôn bán - kinh doanh
8,Ngành Bảo hiểm., buôn bán - kinh doanh
9,Ngành quảng cáo, buôn bán - kinh doanh
10,Ngành Quảng trị nhân sự, buôn bán - kinh doanh
11,Quản trị khách sạn, buôn bán - kinh doanh
12,Chứng khoán, buôn bán - kinh doanh
13,Thanh toán quốc tế, buôn bán - kinh doanh